Ingles,Portugues
Applaud,Aplaudir
Applicable,Aplicável
Applicant,Requerente
Appoint,Nomear
Appreciation,Apreciação
Appropriately,Apropriadamente
Arbitrary,Arbitrário
Architectural,Arquitetônico
Archive,Arquivo
Arena,Arena
Arm,Braço
Array,Variedade
Arrow,Seta
Articulate,Articular
Artwork,Obra de arte
Ash,Cinzas
Aspiration,Aspiração
Aspire,Aspirar
Assassination,Assassinato
Assault,Assalto
Assemble,Montar
Assembly,Conjunto
Assert,Afirmar
Assertion,Afirmação
Asset,Ativo
Assign,Atribuir
Assistance,Assistência
Assumption,Suposição
Assurance,Garantia
Assure,Assegurar
Astonishing,Surpreendente
Asylum,Asilo
Athletic,Atlético
Atrocity,Atrocidade
Attachment,Anexo
Attain,Atingir
Attendance,Comparecimento
Attribute,Atributo
Auction,Leilão
Audio,Áudio
Audit,Auditoria
Authentic,Autêntico
Authorize,Autorizar
Auto,Auto
Autonomy,Autonomia
Autumn,Outono
Availability,Disponibilidade
Await,Espere
Awareness,Conhecimento
Awkward,Estranho
Backdrop,Pano de fundo
Backing,Apoio
Backup,Backup
Badge,Distintivo
Bail,Fiança
Balanced,Equilibrado
Ballet,Balé
Balloon,Balão
Ballot,Votação
Bankruptcy,Falência
Banner,Bandeira
Bare,Nu
Barely,Por muito pouco
Bargain,Negociar
Barrel,Barril
Basement,Porão
Basket,Cesta
Bass,Baixo
Bat,Bastão
Battlefield,Campo de batalha
Bay,Baía
Beam,Feixe
Beast,Besta
Behalf,Em nome de
Behavioral,Comportamental
Beloved,Amado
Bench,Banco
Benchmark,Referência
Beneath,Abaixo
Beneficial,Benéfico
Beneficiary,Beneficiário
Beside,Ao lado
Besides,Além do mais
Betray,Trair
Beverage,Bebida
Bias,Viés
Bid,Oferta
Bind,Vincular
Biography,Biografia
Biological,Biológico
Bishop,Bispo
Bizarre,Bizarro
Blade,Lâmina
Blanket,Cobertor
Blast,Explosão
Bleed,Sangrar
Blend,Mistura
Bless,Abençoar
Blessing,Bênção
Blow,Soprar
Boast,Vangloriar-se
Bold,Audacioso
Bombing,Bombardeio
Bonus,Bônus
Booking,Reserva
Boom,Estrondo
Boost,Impulsionar
Bounce,Quicar
Bound,Vinculado
Boundary,Limite
Bow,Arco
Breach,Violação
Breakdown,Discriminação
Breakthrough,Avanço
Breed,Raça
Brick,Tijolo
Briefly,Brevemente
Broadband,Banda larga
Broadcaster,Radiodifusor
Broadly,Amplamente
Browser,Navegador
Brutal,Brutal
Buck,Fanfarrão
Buddy,Companheiro
Buffer,Buffer
Bug,Erro
Bulk,Volume
Burden,Fardo
Bureaucracy,Burocracia
Burial,Enterro
Burst,Explodido
Cabin,Cabine
Cabinet,Gabinete
Calculation,Cálculo
Canal,Canal
Candle,Vela
Canvas,Tela
Capability,Capacidade
Capitalism,Capitalismo
Capitalist,Capitalista
Carbon,Carbono
Cargo,Carga
Carriage,Transporte
Carve,Esculpir
Casino,Cassino
Castle,Castelo
Casual,Casual
Casualty,Vítima
Catalog,Catálogo
Cater,Atender
Cattle,Gado
Caution,Cuidado
Cautious,Cauteloso
Cave,Caverna
Cease,Cessar
Cemetery,Cemitério
Certainty,Certeza
Certificate,Certificado
Challenging,Desafiante
Chamber,Câmara
Championship,Campeonato
Chaos,Caos
Characterize,Caracterizar
Charm,Charme
Charming,Encantador
Charter,Carta
Chase,Perseguir
Cheek,Bochecha
Cheer,Alegrar
Choir,Coro
Chop,Cortar
Chronic,Crônico
Chunk,Pedaço
Circuit,Circuito
Circulate,Circular
Circulation,Circulação
Citizenship,Cidadania
Civic,Cívico
Civilian,Civil
Civilization,Civilização
Clarify,Esclarecer
Clarity,Clareza
Clash,Choque
Classification,Classificação
Classify,Classificar
Cliff,Penhasco
Cling,Agarrar-se
Clinic,Clínica
Clinical,Clínico
Clip,Grampo
Closure,Encerramento
Cluster,Conjunto
Coalition,Coalizão
Coastal,Costeira
Cocktail,Coquetel
Cognitive,Cognitivo
Coincide,Coincidir
Coincidence,Coincidência
Collaborate,Colaborar
Collaboration,Colaboração
Collective,Coletivo
Collector,Coletor
Collision,Colisão
Colonial,Colonial
Colony,Colônia
Colorful,Colorido
Columnist,Colunista
Combat,Combate
Comic,Cômico
Commander,Comandante
Commence,Começar
Commentary,Comentário
Commentator,Comentarista
Commerce,Comércio
Commissioner,Comissário
Commodity,Mercadoria
Communist,Comunista
Companion,Companheiro
Comparable,Comparável
Comparative,Comparativo
Compassion,Compaixão
Compel,Obrigar
Compelling,Atraente
Compensate,Compensar
Compensation,Compensação
Competence,Competência
Competent,Competente
Compile,Compilar
Complement,Complemento
Completion,Conclusão
Complexity,Complexidade
Compliance,Conformidade
Complication,Complicação
Comply,Cumprir
Compose,Compor
Composer,Compositor
Composition,Composição
Compound,Composto
Comprehensive,Abrangente
Comprise,Compreende
Compromise,Compromisso
Compulsory,Obrigatório
Compute,Calcular
Conceal,Esconder
Concede,Conceder
Conceive,Conceber
Conception,Concepção
Concession,Concessão
Concrete,Concreto
Condemn,Condenar
Confer,Conferir
Confess,Confessar
Confession,Confissão
Configuration,Configuração
Confine,Limitar
Confirmation,Confirmação
Confront,Enfrentar
Confrontation,Confronto
Confusion,Confusão
Congratulate,Felicitar
Congregation,Congregação
Congressional,Congresso
Conquer,Conquistar
Conscience,Consciência
Consciousness,Consciência
Consecutive,Consecutivo
Consensus,Consenso
Consent,Consentimento
Consequently,Consequentemente
Conservation,Conservação
Conserve,Conservar
Considerable,Considerável
Considerably,Consideravelmente
Consistency,Consistência
Consistently,Consistentemente
Consolidate,Consolidar
Conspiracy,Conspiração
Constitute,Constituir
Constitution,Constituição
Constitutional,Constitucional
Constraint,Restrição
Consult,Consultar
Consultant,Consultor
Consultation,Consulta
Consumption,Consumo
Contemplate,Contemplar
Contempt,Desprezo
Contend,Contender
Contender,Contendor
Content,Contente
Contention,Contenção
Continually,Continuamente
Contractor,Contratante
Contradiction,Contradição
Contrary,Contrário
Contributor,Contribuinte
Controversial,Controverso
Controversy,Controvérsia
Convenience,Conveniência
Convention,Convenção
Conventional,Convencional
Conversion,Conversão
Convey,Comunicar
Convict,Condenar
Conviction,Convicção
Convincing,Convincente
Cooperate,Cooperar
Cooperative,Cooperativa
Coordinate,Coordenada
Coordination,Coordenação
Coordinator,Coordenador
Cop,Policial
Cope,Lidar
Copper,Cobre
Copyright,Direitos autorais
Corporation,Corporação
Correction,Correção
Correlate,Correlacionar
Correlation,Correlação
Correspond,Corresponder
Correspondence,Correspondência
Correspondent,Correspondente
Corresponding,Correspondente
Corridor,Corredor
Corrupt,Corrupto
Corruption,Corrupção
Costly,Caro
Councilor,Conselheiro
Counseling,Aconselhamento
Counselor,Conselheiro
Counter,Contador
Counterpart,Contrapartida
Countless,Incontáveis
Coup,Golpe
Courtesy,Cortesia
Coverage,Cobertura
Cowboy,Vaqueiro
Crack,Rachadura
Craft,Arte
Crawl,Arrastar
Creativity,Criatividade
Creator,Criador
Credibility,Credibilidade
Credible,Credível
Creep,Rastejar
Critically,Criticamente
Critique,Crítica
Crown,Coroa
Crude,Bruto
Cruise,Cruzeiro
Crush,Crush
Crystal,Cristal
Cue,Deixa
Cult,Culto
Cultivate,Cultivar
Curiosity,Curiosidade
Curious,Curioso
Curriculum,Currículo
Custody,Custódia
Cute,Bonitinho
Cutting,Corte
Cynical,Cínico
Dairy,Laticínio
Dam,Barragem
Damaging,Prejudicial
Dare,Ousar
Darkness,Escuridão
Database,Banco de dados
Dawn,Alvorecer
Deadline,Prazo final
Deadly,Mortal
Dealer,Distribuidor
Debris,Destroços
Debut,Estréia
Decision-making,Tomando uma decisão
Decisive,Decisivo
Deck,Convés
Declaration,Declaração
Dedicated,Dedicado
Dedication,Dedicação
Deed,Obra
Deem,Considerar
Default,Padrão
Defect,Defeito
Defender,Defensor
Defensive,Defensiva
Deficiency,Deficiência
Deficit,Déficit
Defy,Desafiar
Delegate,Delegar
Delegation,Delegação
Delete,Excluir
Delicate,Delicado
Delighted,Encantado
Democracy,Democracia
Democratic,Democrático
Demon,Demônio
Demonstration,Demonstração
Denial,Negação
Denounce,Denunciar
Dense,Denso
Density,Densidade
Depart,Partir
Dependence,Dependência
Dependent,Dependente
Depict,Retratar
Deploy,Implantar
Deployment,Implantação
Deposit,Depósito
Depression,Depressão
Deprive,Privar
Deputy,Deputado
Derive,Derivar
Descend,Descer
Descent,Descida
Designate,Designar
Desirable,Desejável
Desktop,Área de trabalho
Desperately,Desesperadamente
Destruction,Destruição
Destructive,Destrutivo
Detain,Deter
Detection,Detecção
Detention,Detenção
Deteriorate,Deteriorar
Determination,Determinação
Devastate,Devastar
Devil,Diabo
Devise,Conceber
Devote,Dedicar
Diagnose,Diagnosticar
Diagnosis,Diagnóstico
Dictate,Ditar
Dictator,Ditador
Differ,Diferir
Differentiate,Diferenciar
Dignity,Dignidade
Dilemma,Dilema
Dime,Centavo
Dimension,Dimensão
Diminish,Diminuir
Dip,Mergulhar
Diplomat,Diplomata
Diplomatic,Diplomático
Directory,Diretório
Disability,Inabilidade
Disabled,Desabilitado
Disagreement,Desacordo
Disappoint,Decepcionar
Disappointment,Desapontamento
Disastrous,Desastroso
Discard,Descartar
Discharge,Descarga
Disclose,Divulgar
Disclosure,Divulgação
Discourage,Desencorajar
Discourse,Discurso
Discretion,Critério
Discrimination,Discriminação
Dismissal,Demissão
Disorder,Desordem
Displace,Deslocar
Disposal,Disposição
Dispose,Descartar
Dispute,Disputa
Disrupt,Perturbar
Disruption,Perturbação
Dissolve,Dissolver
Distant,Distante
Distinct,Distinto
Distinction,Distinção
Distinctive,Distintivo
Distinguish,Distinguir
Distort,Distorcer
Distract,Distrair
Distress,Sofrimento
Disturb,Perturbar
Disturbing,Perturbador
Dive,Mergulho
Diverse,Diverso
Diversity,Diversidade
Divert,Desviar
Divine,Divino
Divorce,Divórcio
Doctrine,Doutrina
Documentation,Documentação
Domain,Domínio
Dominance,Domínio
Dominant,Dominante
Donation,Doação
Donor,Doador
Dose,Dose
Dot,Ponto
Drain,Ralo
Dramatically,Dramaticamente
Drift,Deriva
Driving,Condução
Drought,Seca
Drown,Afogar
Dual,Dual
Dub,Dublar
Dull,Chato
Dumb,Burro
Dump,Jogar fora
Duo,Duo
Duration,Duração
Dynamic,Dinâmico
Eager,Ansioso
Earnings,Ganhos
Ease,Facilidade
Echo,Eco
Ecological,Ecológico
Economics,Economia
Economist,Economista
Editorial,Editorial
Educator,Educador
Effectiveness,Eficácia
Efficiency,Eficiência
Efficiently,Eficientemente
Ego,Eu
Elaborate,Elaborar
Elbow,Cotovelo
Electoral,Eleitoral
Electronics,Eletrônica
Elegant,Elegante
Elementary,Elementar
Elevate,Elevar
Eligible,Elegível
Eliminate,Eliminar
Elite,Elite
Embark,Embarcar
Embarrassment,Embaraço
Embassy,Embaixada
Embed,Incorporar
Embody,Incorporar
Embrace,Abraçar
Emergence,Emergência
Emission,Emissão
Emotionally,Emocionalmente
Empire,Império
Empirical,Empírico
Empower,Capacitar
Enact,Promulgar
Encompass,Abranger
Encouragement,Encorajamento
Encouraging,Encorajador
Endeavor,Empreendimento
Endless,Sem fim
Endorse,Endossar
Endorsement,Endosso
Endure,Aguentar
Enforce,Impor
Enforcement,Aplicação
Engagement,Noivado
Engaging,Envolvente
Enjoyable,Agradável
Enrich,Enriquecer
Enroll,Matricular
Ensue,Seguir
Enterprise,Empresa
Entertaining,Divertido
Enthusiast,Entusiasta
Entitle,Autorizar
Entity,Entidade
Entrepreneur,Empreendedor
Envelope,Envelope
Epidemic,Epidemia
Equality,Igualdade
Equation,Equação
Equip,Equipar
Equivalent,Equivalente
Era,Era
Erect,Ereto
Erupt,Entrar em erupção
Escalate,Escalar
Essence,Essência
Essentially,Essencialmente
Establishment,Estabelecimento
Eternal,Eterno
Ethic,Ética
Ethnic,Étnico
Evacuate,Evacuar
Evaluation,Avaliação
Evident,Evidente
Evoke,Evocar
Evolution,Evolução
Evolutionary,Evolutivo
Evolve,Evoluir
Exaggerate,Exagerar
Exceed,Exceder
Excellence,Excelência
Exception,Exceção
Exceptional,Excepcional
Excess,Excesso
Excessive,Excessivo
Exclude,Excluir
Exclusion,Exclusão
Exclusive,Exclusivo
Exclusively,Exclusivamente
Execute,Executar
Execution,Execução
Exert,Exercer
Exile,Exílio
Exotic,Exótico
Expansion,Expansão
Expedition,Expedição
Expenditure,Despesas
Experimental,Experimental
Expertise,Experiência
Expire,Expirar
Explicit,Explícito
Explicitly,Explicitamente
Exploit,Explorar
Exploitation,Exploração
Explosive,Explosivo
Exposure,Exposição
Extension,Extensão
Extensive,Extenso
Extensively,Extensivamente
Extract,Extrair
Extremist,Extremista
Fabric,Tecido
Fabulous,Fabuloso
Facilitate,Facilitar
Faction,Facção
Faculty,Faculdade
Fade,Desaparecer
Failed,Fracassado
Fairness,Justiça
Fake,Falso
Fame,Fama
Fantasy,Fantasia
Fare,Tarifa
Fatal,Fatal
Fate,Destino
Favorable,Favorável
Feat,Façanha
Felony,Crime
Feminist,Feminista
Fiber,Fibra
Fierce,Feroz
Filmmaker,Cineasta
Filter,Filtro
Fine,Multar
Firearm,Arma de fogo
Firefighter,Bombeiro
Firework,Fogo de artifício
Firm,Empresa
Firmly,Firmemente
Fiscal,Fiscal
Fit,Ajustar
Flavor,Sabor
Flaw,Imperfeição
Flawed,Falho
Flee,Fugir
Fleet,Frota
Flesh,Carne
Flexibility,Flexibilidade
Flourish,Florescer
Fluid,Fluido
Fond,Apaixonado
Fool,Enganar
Footage,Imagens de vídeo
Forbid,Proibir
Forecast,Previsão
Foreigner,Estrangeiro
Forge,Forja
Format,Formatar
Formation,Formação
Formerly,Antigamente
Formula,Fórmula
Formulate,Formular
Forth,Adiante
Forthcoming,Próximo
Fortunate,Afortunado
Forum,Fórum
Fossil,Fóssil
Foster,Fomentar
Foundation,Fundação
Founder,Fundador
Fraction,Fração
Fragile,Frágil
Fragment,Fragmento
Framework,Estrutura
Franchise,Franquia
Frankly,Francamente
Fraud,Fraude
Freely,Livremente
Frequent,Freqüente
Freshman,Calouro
Frustrated,Frustrado
Frustrating,Frustrante
Frustration,Frustração
Fulfill,Completar
Full-time,Tempo total
Functional,Funcional
Fundamentally,Fundamentalmente
Fundraising,Arrecadação de fundos
Funeral,Funeral
Furious,Furioso
Gallon,Galão
Gambling,Jogatina
Gaming,Jogos
Gathering,Reunião
Gay,Homossexual
Gaze,Olhar
Gear,Engrenagem
Gender,Gênero
Gene,Gene
Generic,Genérico
Genetic,Genético
Genius,Gênio
Genocide,Genocídio
Genuine,Genuíno
Genuinely,Genuinamente
Gesture,Gesto
Gig,Show
Glance,Olhar
Glimpse,Vislumbre
Globalization,Globalização
Globe,Globo
Glorious,Glorioso
Glory,Glória
Golden,Dourado
Goodness,Bondade
Gorgeous,Maravilhoso
Governance,Governança
Grace,Graça
Graphic,Gráfico
Graphics,Gráficos
Grasp,Entender
Grave,Cova
Gravity,Gravidade
Greatly,Muito
Greenhouse,Estufa
Grid,Grade
Grief,Pesar
Grin,Sorriso
Grind,Moer
Grip,Pegada
Gross,Bruto
Guerrilla,Guerrilha
Guidance,Orientação
Guideline,Diretriz
Guilt,Culpa
Gut,Intestino
Habitat,Habitat
Hail,Saudação
Halfway,Meio caminho
Halt,Parar
Handful,Punhado
Handling,Manuseio
Handy,Útil
Harassment,Assédio
Harbor,Porto
Hardware,Hardware
Harmony,Harmonia
Harsh,Severo
Harvest,Colheita
Hatred,Ódio
Haunt,Assombrar
Hazard,Perigo
Headquarters,Sede
Heal,Curar
Healthcare,Assistência médica
Heighten,Aumentar
Helmet,Capacete
Hence,Por isso
Herb,Erva
Heritage,Herança
Hidden,Escondido
Hierarchy,Hierarquia
High-profile,Alto perfil
Hilarious,Divertido
Hint,Dica
Hip,Quadril
Historian,Historiador
Homeland,Pátria
Homeless,Morador de rua
Honesty,Honestidade
Honey,Mel
Hook,Gancho
Hopeful,Esperançoso
Hopefully,Esperançosamente
Horizon,Horizonte
Horn,Buzina
Hostage,Refém
Hostile,Hostil
Hostility,Hostilidade
Humanitarian,Humanitário
Humanity,Humanidade
Humble,Humilde
Hunger,Fome
Hydrogen,Hidrogênio
Hypothesis,Hipótese
Icon,Ícone
Identical,Idêntico
Identification,Identificação
Ideological,Ideológico
Ideology,Ideologia
Idiot,Idiota
Ignorance,Ignorância
Illusion,Ilusão
Imagery,Imagens
Immense,Imenso
Immigration,Imigração
Imminent,Iminente
Immune,Imune
Implement,Implementar
Implementation,Implementação
Implication,Implicação
Imprison,Aprisionar
Inability,Incapacidade
Inadequate,Inadequado
Inappropriate,Inadequado
Incarcerate,Encarcerar
Incarceration,Encarceramento
Incentive,Incentivo
Incidence,Incidência
Inclined,Inclinado
Inclusion,Inclusão
Incorporate,Incorporar
Incorrect,Incorreto
Incur,Incorrer
Independence,Independência
Index,Índice
Indication,Indicação
Indicator,Indicador
Indictment,Acusação
Indigenous,Indígena
Induce,Induzir
Indulge,Saciar-se
Inequality,Desigualdade
Inevitable,Inevitável
Inevitably,Inevitavelmente
Infamous,Infame
Infant,Infantil
Infect,Infectar
Infer,Inferir
Inflation,Inflação
Inflict,Infligir
Influential,Influente
Info,Informações
Infrastructure,Infraestrutura
Inhabitant,Habitante
Inherent,Inerente
Inherit,Herdar
Inhibit,Inibir
Initiate,Iniciar
Inject,Injetar
Injection,Injeção
Injustice,Injustiça
Ink,Tinta
Inmate,Preso
Innovation,Inovação
Innovative,Inovador
Input,Entrada
Inquire,Perguntar
Insert,Inserir
Insertion,Inserção
Insider,Interno
Inspect,Inspecionar
Inspection,Inspeção
Inspector,Inspetor
Inspiration,Inspiração
Installation,Instalação
Instant,Instantâneo
Instantly,Imediatamente
Instinct,Instinto
Institutional,Institucional
Instruct,Instruir
Instrumental,Instrumental
Insufficient,Insuficiente
Insult,Insulto
Intact,Intacto
Intake,Ingestão
Integral,Integrante
Integrate,Integrar
Integrated,Integrado
Integration,Integração
Integrity,Integridade
Intellectual,Intelectual
Intensify,Intensificar
Intensity,Intensidade
Intensive,Intensivo
Intent,Intenção
Interact,Interagir
Interaction,Interação
Interactive,Interativo
Interface,Interface
Interfere,Interferir
Interference,Interferência
Interim,Provisório
Interior,Interior
Intermediate,Intermediário
Interpretation,Interpretação
Intersection,Interseção
Interval,Intervalo
Intervene,Intervir
Intervention,Intervenção
Intimate,Íntimo
Intriguing,Intrigante
Invade,Invadir
Invasion,Invasão
Inventory,Inventário
Investigator,Investigador
Investor,Investidor
Invisible,Invisível
Invoke,Invocar
Involvement,Envolvimento
Ironic,Irônico
Ironically,Ironicamente
Irony,Ironia
Irrelevant,Irrelevante
Isolate,Isolar
Isolated,Isolado
Isolation,Isolamento
Jail,Cadeia
Jet,Jato
Joint,Articulação
Journalism,Jornalismo
Judicial,Judicial
Jurisdiction,Jurisdição
Jury,Júri
Just,Apenas
Justification,Justificação
Keen,Ansioso
Kidnap,Sequestrar
Kidney,Rim
Kindergarten,Jardim de infância
Kingdom,Reino
Kit,Conjunto
Ladder,Escada
Landing,Pousar
Landlord,Senhorio
Landmark,Marco
Lane,Faixa
Lap,Colo
Large-scale,Em grande escala
Laser,Laser
Lately,Ultimamente
Latter,Último
Lawmaker,Legislador
Lawn,Grama
Lawsuit,Ação judicial
Layout,Layout
Leak,Vazar
Leap,Salto
Legacy,Legado
Legend,Lenda
Legendary,Lendário
Legislation,Legislação
Legislative,Legislativo
Legislature,Legislatura
Legitimate,Legítimo
Lengthy,Demorado
Lens,Lente
Lesbian,Lésbica
Lesser,Menor
Lethal,Letal
Liable,Responsável
Liberal,Liberal
Liberation,Libertação
Liberty,Liberdade
Lifelong,Ao longo da vida
Lifetime,Vida
Lighting,Iluminação
Likelihood,Probabilidade
Likewise,Da mesma maneira
Limb,Membro
Limitation,Limitação
Linear,Linear
Lineup,Alinhar
Linger,Permanecer
Listing,Listagem
Liter,Litro
Literacy,Alfabetização
Literally,Literalmente
Literary,Literário
Litter,Lixo
Liver,Fígado
Lobby,Salão
Log,Registro
Logic,Lógica
Logo,Logotipo
Long-standing,De longa data
Longtime,De longa data
Loom,Tear
Loop,Laço
Lottery,Loteria
Loyal,Leal
Loyalty,Lealdade
Lyric,Letra
Machinery,Maquinaria
Magical,Mágico
Magnetic,Magnético
Magnificent,Magnífico
Magnitude,Magnitude
Mainland,Continente
Mainstream,Convencional
Maintenance,Manutenção
Makeup,Inventar
Making,Fazendo
Mandate,Mandato
Mandatory,Obrigatório
Manifest,Manifesto
Manipulate,Manipular
Manipulation,Manipulação
Manufacture,Fabricação
Manufacturing,Fabricação
Manuscript,Manuscrito
Marathon,Maratona
March,Marchar
Margin,Margem
Marginal,Marginal
Marine,Marinho
Marker,Marcador
Marketplace,Mercado
Martial,Marcial
Mask,Máscara
Massacre,Massacre
Mate,Amigo
Mathematical,Matemático
Mature,Maduro
Maximize,Maximizar
Meaningful,Significativo
Meantime,Entretanto
Mechanic,Mecânico
Mechanical,Mecânico
Mechanism,Mecanismo
Medal,Medalha
Medication,Medicamento
Medieval,Medieval
Meditation,Meditação
Melody,Melodia
Membership,Adesão
Memo,Memorando
Memoir,Livro de memórias
Memorable,Memorável
Memorial,Memorial
Mentor,Mentor
Merchant,Comerciante
Mercy,Misericórdia
Mere,Simples
Merely,Apenas
Merge,Mesclar
Merger,Fusão
Merit,Mérito
Metaphor,Metáfora
Methodology,Metodologia
Midst,Meio
Migration,Migração
Militant,Militante
Militia,Milícia
Mill,Moinho
Miner,Mineiro
Minimal,Mínimo
Minimize,Minimizar
Mining,Mineração
Ministry,Ministério
Minute,Minuto
Miracle,Milagre
Miserable,Miserável
Misery,Miséria
Misleading,Errôneo
Missile,Míssil
Mob,Multidão
Mobile,Móvel
Mobility,Mobilidade
Mobilize,Mobilizar
Mode,Modo
Moderate,Moderado
Modest,Modesto
Modification,Modificação
Module,Módulo
Momentum,Impulso
Monk,Monge
Monopoly,Monopólio
Monster,Monstro
Monthly,Mensal
Monument,Monumento
Morality,Moralidade
Moreover,Além disso
Mortgage,Hipoteca
Mosque,Mesquita
Mosquito,Mosquito
Motion,Movimento
Motivate,Motivar
Motivation,Motivação
Motive,Motivo
Moving,Em movimento
Municipal,Municipal
Mutual,Mútuo
Myth,Mito
Naked,Nu
Namely,Nomeadamente
Nasty,Nojento
Nationwide,Em todo o país
Naval,Naval
Navigation,Navegação
Nearby,Próximo
Necessity,Necessidade
Neglect,Negligência
Negotiate,Negociar
Negotiation,Negociação
Neighboring,Vizinho
Nest,Ninho
Net,Líquido
Neutral,Neutro
Newly,Recentemente
Newsletter,Boletim informativo
Niche,Nicho
Nickel,Níquel
Noble,Nobre
Nod,Acenar
Nominate,Nomear
Nomination,Nomeação
Nominee,Candidato
Nonetheless,Apesar disso
Nonprofit,Sem fins lucrativos
Nonsense,Bobagem
Noon,Meio-dia
Norm,Norma
Notable,Notável
Notably,Notavelmente
Notebook,Caderno
Notify,Notificar
Notorious,Notório
Novel,Romance
Novelist,Romancista
Nowadays,Hoje em dia
Nursery,Berçário
Nursing,Enfermagem
Nutrition,Nutrição
Obesity,Obesidade
Objection,Objeção
Oblige,Obrigar
Observer,Observador
Obsess,Obcecado
Obsession,Obsessão
Obstacle,Obstáculo
Occasional,Ocasional
Occupation,Ocupação
Occupy,Ocupar
Occurrence,Ocorrência
Odds,Chances
Offender,Infrator
Offering,Oferta
Offspring,Filhos
Ongoing,Em andamento
Openly,Abertamente
Opera,Ópera
Operational,Operacional
Operator,Operador
Opt,Optar
Optical,Óptico
Optimism,Otimismo
Optimistic,Otimista
Oral,Oral
Orchestra,Orquestra
Organic,Orgânico
Organizational,Organizacional
Orientation,Orientação
Originate,Originar
Outbreak,Surto
Outfit,Roupa
Outing,Passeio
Outlet,Tomada
Outlook,Panorama
Output,Saída
Outrage,Ultraje
Outsider,Estranho
Outstanding,Fora do comum
Overcome,Superar
Overlook,Ignorar
Overly,Excessivamente
Overnight,Durante a noite
Oversee,Supervisionar
Overturn,Reviravolta
Overwhelm,Sobrecarregar
Overwhelming,Muito pesado
Ownership,Propriedade
Oxygen,Oxigênio
Packet,Pacote
Pad,Almofada
Palm,Palma
Panic,Pânico
Parade,Parada
Parallel,Paralelo
Parameter,Parâmetro
Parental,Parental
Parliament,Parlamento
Part-time,Tempo parcial
Partial,Parcial
Partially,Parcialmente
Participation,Participação
Partnership,Parceria
Passing,Passagem
Passionate,Apaixonado
Passive,Passiva
Password,Senha
Pastor,Pastor
Patch,Correção
Patent,Patente
Pathway,Caminho
Patience,Paciência
Patrol,Patrulha
Patron,Patrono
Pause,Pausa
Peak,Pico
Peasant,Camponês
Peculiar,Peculiar
Peer,Par
Penalty,Pena
Pension,Pensão
Perceive,Perceber
Perception,Percepção
Permanently,Permanentemente
Persist,Persistir
Persistent,Persistente
Personnel,Pessoal
Petition,Petição
Pharmacy,Farmácia
Philosopher,Filósofo
Philosophical,Filosófico
Physician,Médico
Pill,Pílula
Pioneer,Pioneiro
Pipeline,Gasoduto
Pirate,Pirata
Pit,Poço
Pity,Pena
Placement,Colocação
Plea,Declarar
Plead,Implorar
Pledge,Juramento
Plug,Plugue
Plunge,Mergulhar
Pole,Pólo
Poll,Enquete
Pond,Lago
Pop,Pop
Portfolio,Portfólio
Portion,Parte
Portray,Retratar
Postpone,Adiar
Postwar,Pós-guerra
Potentially,Potencialmente
Practitioner,Praticante
Preach,Pregar
Precede,Preceder
Precedent,Precedente
Precious,Precioso
Precise,Preciso
Precisely,Precisamente
Precision,Precisão
Predator,Predador
Predecessor,Antecessor
Predictable,Previsível
Predominantly,Predominantemente
Preference,Preferência
Pregnancy,Gravidez
Prejudice,Preconceito
Preliminary,Preliminares
Premier,Primeiro-ministro
